,Title,Price,Brand,Model Name,Colour,Headphones Form Factor,Connector Type,Wireless Communication Technology,Cable Type,Compatible Device,Special Feature,Series,Form Factor,Connectivity Technology,Connectivity technologies,Mounting Hardware,Wireless communication technologies,Connectivity Type
223,"JBL C100SI Wired In Ear Headphones with Mic, JBL Pure Bass Sound, One Button Multi-function Remote, Angled Buds for Comfort fit (Black)",599,JBL,C100SI,Black,In Ear,Wired,,,,,,,,,,,
224,"Logitech H340 Stereo Wired Over Ear Headphones With Mic With Noise-Cancelling, Usb, Pc/Mac/Laptop - Black","2,595",Logitech,L1,Black,Over Ear,Wired,,,,,,,,,,,
225,"UBON Earphones with Mic, Rapper 2.0 Series UB-114, in Ear Wired Headphone for Extra Bass & HD Sound, 10mm Dynamic Driver, 3.5 mm Audio Jack Compatible with Mobile Phones, Tablets & Laptops (Red)",199,UBON,Rapper 2.0,Red,In Ear,Wired,,,,,,,,,,,
226,"Boult Audio FXCharge with ENC, 32H Playtime, 5min=7H Type C Fast Charging, Zen ENC, 14.2 mm BoomX Rich Bass, IPX5, Bluetooth Wireless in Ear Earphones Neckband with mic (Black)",999,Boult Audio,ProBass,FXCharge Black,In Ear,Bluetooth 5.2,,,,,,,,,,,
227,"JBL Live 660NC, Smart Adaptive Noise Cancelling Bluetooth Wireless Over Ear Headphones with Mic up to 50 Hours Playtime with Quick Charge, Signature Sound (Blue)","9,990",JBL,Live,Blue,Over Ear,"Wireless, Wired",,,,,,,,,,,
228,"boAt Rockerz 370 On Ear Bluetooth Headphones with Upto 12 Hours Playtime, Cozy Padded Earcups and Bluetooth v5.0, with Mic (Buoyant Black)","1,399",BoAt,Rockerz 370,Buoyant Black,On Ear,Wireless,,,,,,,,,,,
229,Jabra Evolve 75 UC Wireless Bluetooth On Ear Headphones with Mic (Black),"33,000",Jabra,Jabra Evolve 75 Link 370 UC Bluetooth Wireless office headset,Black,On Ear,Wireless,,,,,,,,,,,
230,"Logitech H340 Stereo Wired Over Ear Headphones With Mic With Noise-Cancelling, Usb, Pc/Mac/Laptop - Black","2,595",Logitech,l1,Black,Over Ear,Wired,,,,,,,,,,,
231,"boAt Nirvana 751 ANC Hybrid Active Noise Cancelling Bluetooth Wireless Over Ear Headphones with Up to 65H Playtime, ASAP Charge, Ambient Sound Mode, Immersive Sound, Carry Pouch(Gunmetal Grey)","3,999",boAt,Nirvanaa 751 ANC,Gunmetal Grey,Over Ear,Bluetooth 5.0,,,,,,,,,,,
232,"GoSale Wireless Bluetooth Earphones for Xiaomi Redmi 9A / 9 A Earphone In-Ear Headphones Headset With Mic, Extra Deep Bass Hands-Free Call/Music, Sports Earbuds Flexible Neckband, Sweatproof Jogger (HBS, Multi)",699.,GoSale,,Multicolour,In Ear,Wireless,Bluetooth,,,,,,,,,,
233,Sony EX155AP Wired In Ear Headphone with Mic (Black),"1,099",Sony,,Black,In Ear,Wired,,,,Noise Cancelling,,,,,,,
234,"JBL C100SI Wired In Ear Headphones with Mic, JBL Pure Bass Sound, One Button Multi-function Remote, Angled Buds for Comfort fit (Black)",599,JBL,C100SI,Black,In Ear,Wired,,,,,,,,,,,
235,"JBL T460BT by Harman, Wireless On Ear Headphones with Mic, Pure Bass, Portable, Lightweight & Flat Foldable, Voice Assistant Support for Mobiles (Black)","2,699",JBL,Tune,Black,On Ear,Wireless,,,,,,,,,,,
236,"JBL C100SI Wired In Ear Headphones with Mic, JBL Pure Bass Sound, One Button Multi-function Remote, Angled Buds for Comfort fit (Black)",599,JBL,C100SI,Black,In Ear,Wired,,,,,,,,,,,
237,"JBL C50HI, Wired in Ear Headphones with Mic, One Button Multi-Function Remote, Lightweight & Comfortable fit (Black)",499,JBL,C50HI,Black,In Ear,3.5 mm Jack,,,,,,,,,,,
238,Dylect in-Ear Wired Earphone I Stereo Quality Sound I High Bass I in-Built Mic I 1.2m Tangle Free Cable I 3.5mm Aux Port (Black),188,Dylect,Dylect Wired Earphone,Black,In Ear,Wired,,,,,,,,,,,
239,"Sony WH-XB910N Extra Bass Noise Cancelling Bluetooth Wireless Over Ear Headphones with Alexa Voice Control, Fast Pair, 30Hr Battery | Instant Bank Discount of INR 2000 on Select Prepaid transactions","14,399",Sony,WH-XB910N,Blue,Over Ear,Bluetooth,,,,,,,,,,,
240,"Boult Audio Probass Curve Bluetooth Wireless in Ear Earphones with Mic with Ipx5 Water Resistant, 12H Battery Life & Extra Bass (Black)",899,Boult Audio,Neckband,Black,In Ear,Wireless,,,,,,,,,,,
241,"Jabra Evolve2 40 MS Wired Headphones, USB-C, Stereo, Black – Telework Headset for Calls and Music, Enhanced All-Day Comfort, Passive Noise Cancelling Headphones, MS-Optimized with USB-C Connection","13,790",Jabra,,Black,On Ear,Wired,,,,On-ear,,,,,,,
