Title,Actual_Price,Selling_Price,Brand,Model,Colour,Form_Factor,Connectivity_Type
"PTron Bassbuds Verse TWS Earbuds, 40H Playtime, ENC Calls, Deep Bass, BT5.3,TypeC,IPX4 Bluetooth Headset  (Grey, In the Ear)",4599.0,999.0,PTron,Bassbuds Verse,Grey,In Ear,Bluetooth
"boAt Airdopes Atom 83 with 50Hrs Playback, Quad Mics ENx Technology & Beast Mode Bluetooth Headset  (Carbon Black, True Wireless)",4490.0,1499.0,boAt,Airdopes Atom 83,Carbon Black,In Ear,Bluetooth
"boAt Airdopes 163 Bluetooth Headset  (Active Black, True Wireless)",2490.0,1399.0,boAt,AIRDOPES 163,Active Black,In Ear,Bluetooth
"PTron Bassbuds Revv Bluetooth Gaming Headset  (Black, True Wireless)",4599.0,1699.0,PTron,Bassbuds Revv,Black,In Ear,Bluetooth
"Wings Phantom Pro Gaming TWS with 40 Hrs Playtime,50ms low latency, Bluetooth 5.3 Bluetooth Gaming Headset  (White, True Wireless)",5499.0,1299.0,Wings,Phantom Pro Gaming TWS with 40 Hrs Playtime Bluetooth Headset,White,In Ear,Bluetooth
"Skullcandy Hesh ANC Bluetooth Headset  (Mod White, On the Ear)",19999.0,11299.0,Skullcandy,Hesh ANC,Mod White,On Ear,Bluetooth
"ZEBRONICS Zeb-Yoga 101 Bluetooth Headset  (Grey, In the Ear)",2499.0,849.0,ZEBRONICS,Zeb-Yoga 101,Grey,In Ear,Bluetooth
"boAt Rockerz 333 Upto 30 Hours Battery Bluetooth Headset  (Cherry Black, In the Ear)",2490.0,1599.0,boAt,Rockerz 333 with ASAP Charge and upto 30 Hours Playback,Cherry Black,In Ear,Bluetooth
"ZEBRONICS Zeb-Blitz with DOLBY ATMOS with 7.1 Surround Sound Bluetooth Gaming Headset  (White, On the Ear)",5999.0,2399.0,ZEBRONICS,Zeb-Blitz,White,On Ear,Bluetooth
"Noise Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync Bluetooth Headset  (Jet Black, True Wireless)",3999.0,1499.0,Noise,"Buds VS102 Plus with 36 Hours Playtime, Instacharge, ENC, Quad Mic and HyperSync",Jet Black,In Ear,Bluetooth
